studyId,city,state,country,startDate
NCT03875625,Hong Kong,Shatin,Hong Kong,2019-04-01
NCT03902925,Ribeirao Preto,SP,Brazil,2019-01-01
NCT04679025,Calgary,Alberta,Canada,2019-04-01
NCT03758430,Boston,Massachusetts,United States,2019-02-06
NCT04136730,Kuwait City,,Kuwait,2019-08-01
NCT04005430,Palo Alto,California,United States,2019-04-03
NCT04511325,Tallahassee,Florida,United States,2019-04-27
NCT04375020,Cairo,,Egypt,2019-11-01
NCT04025320,Loma Linda,California,United States,2019-09-27
NCT03970720,Lexington,Kentucky,United States,2019-05-28
NCT03970720,Salt Lake City,Utah,United States,2019-05-28
